loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,9.488035570,0.1460,2.95750,6.1580e+02,0.022344,2.26,793.0,93.59,24.810000,5455.00,4.467,0.1400,0.9270,0.9190
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,54.418382700,0.5860,4.50700,8.7480e+02,0.027954,2.83,443.0,9.11,77.900000,5455.00,4.467,0.1400,0.9270,0.9190
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,0.7010,1.65450,6.0330e+02,0.024064,2.75,1406.0,926.16,8.750000,6031.00,4.438,0.0700,1.0460,1.0950
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,11.094320540,0.5380,4.59450,1.5175e+03,0.036779,3.90,835.0,114.81,16.360000,6046.00,4.486,-0.0800,0.9720,1.0530
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,4.134435120,0.7620,3.14020,6.8600e+02,0.026133,2.77,1160.0,427.65,6.960000,6046.00,4.486,-0.0800,0.9720,1.0530
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,2.566588970,0.7550,2.42900,2.2650e+02,0.014983,1.59,1360.0,807.74,5.540000,6046.00,4.486,-0.0800,0.9720,1.0530
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,16.068646740,0.0520,3.53470,4.9143e+03,0.062161,5.76,600.0,30.75,36.850000,5031.00,4.485,0.1600,0.8480,0.8010
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,0.8180,1.74319,1.4231e+04,0.123871,13.04,1339.0,761.46,8.397700,5820.00,4.457,-0.0600,0.9640,0.9710
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,0.2240,3.88864,6.6747e+03,0.075522,16.10,2048.0,4148.92,4.602000,6440.00,4.019,0.1400,1.9520,1.4490
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,0.6310,3.19843,9.1457e+03,0.092086,14.59,1521.0,1264.67,7.541000,6225.00,4.169,-0.0400,1.4510,1.1320
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,0.0510,2.63020,1.3110e+02,0.010424,1.16,1206.0,500.46,10.888000,5833.00,4.407,-0.0400,1.0220,0.9740
